ProductId,lenstype,Part_Description,Material_Type,Lens_Type,price
811,DUO Bifocal Freeform,Duo 14mm 1.60 Transitions Grey  Glacier Plus,Transitions,Rx,
812,ED Plus,ED Plus 18mm 1.50 AutoShade Grey BlueShield Glacier Plus,Blue Zero,Rx,409.42
813,ED Plus,ED Plus 18mm 1.50 AutoShade Grey Glacier Plus,,Rx,433.23
814,ED Plus,ED Plus 18mm 1.60 AutoShade Grey Glacier Plus,,Rx,519.29
815,ED Plus,ED Plus 18mm 1.60 Blue Zero Clear Glacier Plus,Blue Zero,Rx,485.14
816,ED Plus,ED Plus 18mm 1.60 Plastic Clear Glacier,Clear,Rx,"1,166.62"
817,ED Plus,ED Plus 18mm 1.67 Transitions Grey Glacier Plus,Transitions,Rx,"1,301.90"
818,ED Plus,ED Plus 20mm 1.50 AutoShade Grey BlueShield,Blue Zero,Rx,616.88
819,ED Plus,ED Plus 20mm 1.50 AutoShade Grey Glacier,,Rx,366.88
820,ED Plus,ED Plus 20mm 1.50 Plastic Clear Glacier,Clear,Rx,284.42
821,ED Plus,ED Plus 20mm 1.60 AutoShade Grey BlueShield,Blue Zero,Rx,644.29
822,ED Plus,ED Plus 20mm 1.60 AutoShade Grey Glacier,,Rx,519.29
823,ED Plus,ED Plus 20mm 1.60 Blue Zero Clear Glacier,Blue Zero,Rx,485.14
824,ED Plus,ED Plus 20mm 1.60 Plastic Clear Glacier,Clear,Rx,519.29
825,ENDLESS DRIVE ASPHERICAL SINGLE VISION FREE FORM,ENDLESS DRIVE ASPHERICAL SINGLE VISION FREE FORM 1.67 TRANSITIONS 8 GREY HMX-EMI,Transitions,Rx,"1,537.89"
826,Endless Office,Endless Office 1.3m 16mm 1.60 Blue Zero Clear BlueShield,Blue Zero,Rx,774.95
827,Endless Office,Endless Office 2m 16mm 1.50 AutoShade Grey Glacier,,Rx,390.58
828,Endless Office,Endless Office 2m 16mm 1.50 Plastic Clear Glacier,Clear,Rx,390.58
829,Endless Steady,Endless Steady 18mm 1.50 AutoShade Grey Glacier,,Rx,410.16
830,Endless Steady,Endless Steady 18mm 1.50 AutoShade Grey Glacier,,Rx,
831,Endless Steady,Endless Steady 18mm 1.50 Plastic Clear Glacier,Clear,Rx,390.58
832,Endless Steady,Endless Steady 18mm 1.50 Transitions 8 Grey Glacier,Transitions,Rx,"1,044.60"
833,Endless Steady,Endless Steady 18mm 1.59 Polycarbonate Transitions Grey Glacier,Transitions,Rx,"1,243.66"
834,Endless Steady,Endless Steady 18mm 1.60 Blue Zero Clear BlueShield,Blue Zero,Rx,649.95
835,Endless Steady,Endless Steady 18mm 1.60 Blue Zero Clear Glacier,Blue Zero,Rx,524.95
836,Endless Steady,Endless Steady 18mm 1.60 Plastic Clear BlueShield,Blue Zero,Rx,627.27
837,Endless Steady,Endless Steady 18mm 1.60 Plastic Clear Glacier,Clear,Rx,502.27
838,Endless Steady,Endless Steady 18mm 1.60 Transitions 8 Grey BlueShield,Transitions,Rx,"1,522.77"
839,Endless Steady,Endless Steady 18mm 1.60 Transitions 8 Grey Glacier,Transitions,Rx,"1,397.77"
840,Endless Steady,Endless Steady 18mm 1.60 Transitions 8 Grey Glacier,Transitions,Rx,
841,Endless Steady,Endless Steady 18mm 1.60 Transitions XTRActive G15 Glacier,Transitions,Rx,"1,532.52"
842,Endless Steady,Endless Steady 18mm 1.67 AutoShade Grey Glacier,,Rx,691.93
843,Endless Steady,Endless Steady 18mm 1.74 Plastic Clear Glacier,Clear,Rx,649.15
844,Essential Steady,Essential Steady 18mm 1.50 Transitions 8 Grey Glacier,Transitions,Rx,"1,004.79"
845,Essential Steady,Essential Steady 18mm 1.60 Plastic Clear BlueShield Glacier Plus,Blue Zero,Rx,587.46
846,E yerest ,Eyerest 0.80 1.60 AutoShade Grey BlueShield,Blue Zero,Rx,710.64
847,FB21105 C3,FB21105 C3,,Rx,420.56
848,FB21105 C3,FB21105 C3,0,Rx,
849,FG-9007 C3,FG-9007 C3,,Rx,420.56
850,FG-9007 C3,FG-9007 C3,0,Rx,
851,Shamir First PAL,First Pal 15mm 1.50 Blue Zero Clear Glacier Expression,Blue Zero,Rx,761.68
852,Shamir First PAL,First Pal 15mm 1.50 Blue Zero Clear Glacier Plus,Blue Zero,Rx,761.68
853,Shamir First PAL,First Pal 15mm 1.50 PhotoShade Brown Glacier Plus UV,,Rx,"1,228.97"
854,Shamir First PAL,First Pal 15mm 1.50 Photoshade Grey Glacier Plus UV,,Rx,"1,228.97"
855,Shamir First PAL,First Pal 15mm 1.50 Photoshade Grey Glacier Plus UV,,,
856,Shamir First PAL,First Pal 15mm 1.50 Photoshade Grey Glacier Plus UV BlueShield,Blue Zero,Rx,"1,369.16"
857,Shamir First PAL,First Pal 15mm 1.50 Plastic Gradient Tint Glacier Expression,,Rx,677.57
858,Shamir First PAL,First Pal 15mm 1.50 Plastic Gradient Tint HC,,Rx,677.57
859,Shamir First PAL,First Pal 15mm 1.50 Plastic Solid Tint Glacier Expression,,Rx,677.57
860,Shamir First PAL,First Pal 15mm 1.50 Transitions Brown Glacier Plus,Transitions,Rx,"1,228.97"
861,Shamir First PAL,First Pal 15mm 1.50 Transitions Grey Glacier Plus,Transitions,Rx,"1,228.97"
862,Shamir First PAL,First Pal 15mm 1.59 Polycarbonate Photoshade Grey Glacier Plus UV,,Rx,"1,696.26"
863,Shamir First PAL,First Pal 15mm 1.59 Polycarbonate Transitions Grey Glacier Plus,,Rx,"1,696.26"
864,Shamir First PAL,First Pal 15mm 1.60 Blue Zero Clear Glacier Expression,Blue Zero,Rx,761.68
865,Shamir First PAL,First Pal 15mm 1.60 Blue Zero Clear Glacier Plus,Blue Zero,Rx,"1,228.97"
866,Shamir First PAL,First PAL 15mm 1.60 PhotoShade Brown Glacier Expression,,Rx,"1,696.26"
867,Shamir First PAL,First PAL 15mm 1.60 PhotoShade Grey Glacier Expression,,Rx,"1,696.26"
868,Shamir First PAL,First PAL 15mm 1.60 Photoshade Grey Glacier Plus,,Rx,"1,696.26"
869,Shamir First PAL,First Pal 15mm 1.60 Plastic Clear Glacier Expression,Clear,Rx,"1,074.77"
870,Shamir First PAL,First Pal 15mm 1.60 Plastic Solid Tint Glacier Expression,,,"1,299.07"
871,Shamir First PAL,First Pal 15mm 1.60 Transitions Grey Glacier Expression,Transitions,Rx,299.07
872,Shamir First PAL,First Pal 15mm 1.60 Transitions Grey Glacier Plus,Transitions,Rx,"1,696.26"
873,FLAT TOP 28 BI FOCAL,FLAT TOP 28 BI FOCAL 1.53 TRIVEX CLEAR  HMX-EMI,Clear,Rx,705.02
874,FLAT TOP 28 BI FOCAL,FLAT TOP 28 BI FOCAL 1.59 POLYCARBONATE CLEAR  HC,POLYCARBONATE,Rx,985
875,FRAME,FRAME,,Rx,328.7
876,FRAME,FRAME,,,
877,DIGILIFE PROGRESSIVE BACK SIDE FREE FORM,Free Form DigiLife 15mm 1.60 Plastic Clear HMX-EMI,Clear,Rx,"1,150.00"
878,DIGILIFE PROGRESSIVE BACK SIDE FREE FORM,Free Form DIGILIFE 15mm 1.60 Transitions 8 Grey Anti-Blue,Transitions,Rx,"2,475.00"
879,DIGILIFE PROGRESSIVE BACK SIDE FREE FORM,Free Form DigiLife 15mm 1.67 Plastic Clear HMX-EMI,Clear,Rx,"1,650.00"
880,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 13mm 1.50 Plastic Clear Anti-Blue,Plastic,,"1,425.00"
881,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 13mm 1.50 Plastic Clear HMX-EMI,Clear,Rx,"1,150.00"
882,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 13mm 1.50 Plastic Gradient Tint HMX-EMI,,Rx,"1,300.00"
883,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 13mm 1.60 Plastic Clear HMX-EMI,Clear,Rx,"1,325.00"
884,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 13mm 1.60 Transitions 8 Brown HMX-EMI,Transitions,Rx,"2,450.00"
885,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15 MM 1.60 Transitions 8 Brown Ice,Transitions,Rx,"2,950.00"
886,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15mm 1.50 Plastic Clear HMX-EMI,Clear,Rx,"1,150.00"
887,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15mm 1.50 Plastic Gradient Tint HMX-EMI,,Rx,"1,300.00"
888,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15mm 1.50 Transitions 8 Brown HMX-EMI,Transitions,Rx,"1,950.00"
889,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15mm 1.50 Transitions 8 Grey HMX-EMI,Transitions,Rx,"1,950.00"
890,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15mm 1.59 Polycarbonate Polarized Brown HMX-EMI,,Rx,"2,250.00"
891,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15mm 1.60 Blue Zero Clear HMX-EMI,Blue Zero,Rx,"1,600.00"
892,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15mm 1.60 Plastic Clear HMX-EMI,Clear,Rx,"2,700.00"
893,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15mm 1.60 Plastic Gradient Tint HMX-EMI,,Rx,"1,535.00"
894,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15mm 1.60 Plastic Solid Tint HMX-EMI,,Rx,"1,475.00"
895,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15mm 1.60 Transitions 8 Brown HMX-EMI,Transitions,Rx,"2,450.00"
896,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15mm 1.60 Transitions 8 Grey Anti-Blue,Transitions,Rx,"2,209.88"
897,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15mm 1.60 Transitions 8 Grey HMX-EMI,Transitions,Rx,"1,325.00"
898,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15mm 1.60 Transitions 8 Grey HMX-EMI,Transitions,Rx,
899,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15mm 1.67 Plastic Clear Anti-Blue,Blue Zero,Rx,"2,075.00"
900,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15mm 1.67 Plastic Clear HMX-EMI,Clear,Rx,"1,800.00"
901,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15mm 1.67 Plastic Gradient Tint HMX-EMI,,Rx,"2,100.00"
902,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15mm 1.67 Plastic Solid Tint HMX-EMI,,Rx,"2,050.00"
903,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15mm 1.67 Transitions 8 Grey HMX-EMI,Transitions,Rx,"2,450.00"
904,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 15mm 1.74 Plastic Clear HMX-EMI,Clear,Rx,"2,275.00"
905,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 18mm 1.50 Transitions 8 Brown HMX-EMI,Transitions,Rx,"1,950.00"
906,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 18mm 1.50 Transitions 8 Grey ICE,Transitions,Rx,"2,450.00"
907,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 18mm 1.50 Transitions XTRActive Grey HMX-EMI,Transitions,Rx,"2,050.00"
908,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 18mm 1.53 Trivex Clear HMX-EMI,,,927.69
909,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 18mm 1.60 Plastic Clear ICE,Clear,Rx,"1,825.00"
910,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 18mm 1.60 Plastic Gradient Tint HMX-EMI,,Rx,"1,535.00"
911,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 18mm 1.60 Transitions 8 Brown HMX-EMI,Transitions,Rx,"2,059.88"
912,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 18mm 1.60 Transitions 8 Grey HMX-EMI,Transitions,Rx,"2,950.00"
913,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 18mm 1.60 Transitions XTRActive Brown ICE,Transitions,Rx,"3,050.00"
914,SIGNATURE PROGRESSIVE BACK SIDE FREE FORM,Free Form Signature 18mm 1.60 Transitions XTRActive Grey HMX-EMI,Transitions,Rx,"2,550.00"
915,FREEFORM RS28 BI FOCAL,FREEFORM RS28 BI FOCAL 1.60 Transition 8 Brown HMX-EMI,Transitions,Rx,"2,100.00"
916,FREEFORM RS40 BI FOCAL,FREEFORM RS40 BI FOCAL,FREEFORM RS40 BI FOCAL 1.60 PLASTIC CLEAR HMX-EMI,PLASTIC,
917,FREEFORM RS40 BI FOCAL,FREEFORM RS40 BI FOCAL 1.50 PLASTIC CLEAR HC,Clear,Rx,253.96
918,FREEFORM RS40 BI FOCAL,FREEFORM RS40 BI FOCAL 1.50 PLASTIC GRADIENT TINT HMX-EMI,,Rx,750
919,FREEFORM RS40 BI FOCAL,FREEFORM RS40 BI FOCAL 1.60 PLASTIC CLEAR HMX-EMI,PLASTIC,,587.5
920,FREEFORM RS40 BI FOCAL,FREEFORM RS40 BI FOCAL 1.60 Transitions 8 Grey HMX,Transitions,Rx,"1,471.34"
921,FREEFORM RS40 BI FOCAL,FREEFORM RS40 BI FOCAL 1.67 Plastic Clear HMX-EMI,PLASTIC,,"1,450.00"
922,FreeForm SV Normal Base,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 Plastic Clear Glacier Plus UV,Plastic,
923,FreeForm SV Normal Base,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 Plastic Solid Tint Mirror Orange + HMC,Plastic,
924,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 AutoShade Grey BlueShield,Blue Zero,Rx,407.83
925,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 AutoShade Grey Glacier,,Rx,684.63
926,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 AutoShade Grey HMC,,Rx,575.8
927,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 PhotoShade Grey HMC,,Rx,575.8
928,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 PhotoShade Grey HMX,PhotoShade Grey,,635.67
929,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 Plastic Clear HC,Plastic,,263.6
930,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 Plastic Clear HMC,Clear,Rx,204.56
931,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 Plastic Clear UC,Clear,Rx,263.6
932,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 Plastic Gradient Tint HMC,,Rx,254.56
933,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 Plastic Gradient Tint UC,,Rx,226.21
934,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 Plastic Solid Tint Grey Mirror Red,,Rx,454.56
935,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 Plastic Solid Tint HC,0,0,313.6
936,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 Plastic Solid Tint HMC,,Rx,254.56
937,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 Plastic Solid Tint Mirror Blue,Blue Zero,Rx,454.56
938,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 Plastic Solid Tint Mirror Green,,Rx,563.6
939,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 Plastic Solid Tint Mirror Orange,,Rx,563.6
940,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 Plastic Solid Tint Mirror Orange + HMC,Plastic,,563.6
941,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 Plastic Solid Tint Mirror Silver,,Rx,75.71
942,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 Plastic Solid Tint Mirror Silver,,Rx,
943,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 Plastic Solid Tint UC,,Rx,226.21
944,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 Polarized Green HMC,,Rx,429.38
945,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 Polarized Grey HMC,,Rx,328.37
946,FreeForm SV Normal Base,FreeForm SV Normal Base 1.50 Polarized Grey Mirror Blue,Blue Zero,Rx,629.38
947,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 AutoShade Brown   HMC,,Rx,784.5
948,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 AutoShade Brown Glacier,,Rx,392.83
949,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 AutoShade Grey BlueShield,Blue Zero,Rx,909.5
950,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 AutoShade Grey BlueShield,,,
951,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 AutoShade Grey Glacier,,Rx,859.5
952,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 Blue Zero BlueShield,Blue Zero,Rx,427.42
953,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 PhotoShade Grey BlueShield Glacier UV,Blue Zero,Rx,859.5
954,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 PhotoShade Grey HMC,,Rx,844.81
955,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 Plastic Clear BlueShield Glacier UV,Blue Zero,Rx,362.42
956,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 Plastic Clear Glacier Plus UV,Plastic,,293.6
957,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 Plastic Clear HMC,Clear,Rx,293.6
958,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 Plastic Gradient Tint BlueShield Glacier Plus,Blue Zero,Rx,437.42
959,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 Plastic Gradient Tint HMC,,Rx,362.42
960,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 Plastic Solid Tint BlueShield Glacier Plus,,Rx,433.6
961,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 Plastic Solid Tint Glacier Plus UV,,Rx,421.98
962,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 Plastic Solid Tint HMC,,Rx,362.42
963,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 Plastic Solid Tint HMC,,,
964,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 Plastic Solid Tint Mirror Silver,,Rx,608.6
965,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 Transitions Grey BlueShield,Transitions,Rx,"1,025.31"
966,FreeForm SV Normal Base,FreeForm SV Normal Base 1.60 Transitions Grey HMC,Transitions,Rx,950.31
967,FreeForm SV Normal Base,FreeForm SV Normal Base 1.67 AutoShade Grey BlueShield Glacier UV,Blue Zero,Rx,608.67
968,FreeForm SV Normal Base,FreeForm SV Normal Base 1.67 PhotoShade Grey Glacier,,Rx,956.03
969,FreeForm SV Normal Base,FreeForm SV Normal Base 1.67 Plastic Clear  Glacier Plus UV,Clear,Rx,409.5
970,FreeForm SV Normal Base,FreeForm SV Normal Base 1.67 Plastic Clear BlueShield Glacier UV,Blue Zero,Rx,439.53
971,FreeForm SV Normal Base,FreeForm SV Normal Base 1.67 Plastic Clear HMC,Clear,Rx,364.53
972,FreeForm SV Normal Base,FreeForm SV Normal Base 1.67 Plastic Clear HMC,,,
973,FreeForm SV Normal Base,FreeForm SV Normal Base 1.67 Plastic Gradient Tint HMC,,,390.33
974,FreeForm SV Normal Base,FreeForm SV Normal Base 1.67 Plastic Solid Tint HMC,,Rx,439.53
975,FreeForm SV Normal Base,FreeForm SV Normal Base 1.67 Plastic Solid Tint Mirror Silver,,Rx,754.5
976,FreeForm SV Normal Base,FreeForm SV Normal Base 1.67 Transitions Grey BlueShield Glacier UV,Transitions,Rx,484.5
977,FreeForm SV Normal Base,FreeForm SV Normal Base 1.74 Plastic Clear  BlueShield Glacier UV,Blue Zero,Rx,684.59
978,FreeForm SV Normal Base,FreeForm SV Normal Base 1.74 Plastic Clear  BlueShield Glacier UV,Blue Zero,Rx,
979,FreeForm SV Normal Base,FreeForm SV Normal Base 1.74 Plastic Clear Glacier Plus UV,Clear,Rx,609.59
980,FreeForm SV Normal Base,FreeForm SV Normal Base 1.74 Plastic Clear HMC,Clear,Rx,352.42
981,FreeForm SV Normal Base,FreeForm SV Normal Base 1.74 Plastic Clear HMC,Clear,Rx,
982,FreeForm SV Normal Base,FreeForm SV Normal Base 1.74 Plastic Solid Tint HMC,,Rx,848.83
983,Freight charge,Freight charge,,,770
984,Freight charge,Freight charge - Thailand,,,40
985,Glaszing & Fitting service,Glaszing & Fitting service,,,116.82
986,Glaszing & Fitting service,Glaszing & Fitting service - Thailand,,,116.82
987,Progressive Freeform,GUSA PAL 16mm 1.67 Transitions Brown Anti-Blue,Transitions,Rx,"1,845.00"
988,Progressive Freeform,GUSA PAL 16mm 1.74 Transitions Grey Anti-Blue,Transitions,Rx,"1,595.00"
989,Progressive Freeform,GUSA PAL 16mm 1.74 Transitions Grey HMC,Transitions,Rx,"1,845.00"
990,Single Vision Rx,GUSA SV 1.50 Blue Zero HMX,Blue Zero,Rx,273.96
991,Single Vision Rx,GUSA SV 1.67 Plastic Clear Anti-Blue,Blue Zero,Rx,607.48
992,HMA021 C2,HMA021 C2,,Rx,420.56
993,HTC Vive Plano 1.50 STOCK HeluX,HTC Vive Plano 1.50 STOCK HeluX,,Stock,65.42
994,ICON FF OFFICE 1x3m,ICON FF OFFICE 1x3m,ICON FF OFFICE 1x3m 14mm 1.50 Plastic Clear HMX,Plastic,
995,ICON FF OFFICE 1x3m,ICON FF OFFICE 1x3m 14mm 1.50 Blue Zero Clear BlueShield Glacier,Blue Zero,Rx,423.35
996,ICON FF OFFICE 1x3m,ICON FF OFFICE 1x3m 14mm 1.50 Blue Zero Clear Crystal Blue,Blue Zero,Rx,322.04
997,ICON FF OFFICE 1x3m,ICON FF OFFICE 1x3m 14mm 1.50 Plastic Clear Anti-Blue,Blue Zero,Rx,403.77
998,ICON FF OFFICE 1x3m,ICON FF OFFICE 1x3m 14mm 1.50 Plastic Clear HMX,Plastic,,328.77
999,ICON FF OFFICE 1x3m,ICON FF OFFICE 1x3m 14mm 1.60 Blue Zero Clear Glacier,Blue Zero,Rx,422.68
1000,ICON FF OFFICE 1x3m,ICON FF OFFICE 1x3m 14mm 1.60 Plastic Clear Anti-Blue,Blue Zero,Rx,463.77
1001,ICON FF OFFICE 1x3m,ICON FF OFFICE 1x3m 14mm 1.67 Plastic Clear Anti-Blue,Blue Zero,Rx,572.12
1002,ICON FF OFFICE 1x3m,ICON FF OFFICE 1x3m 18mm 1.50 Plastic Clear Glacier,Clear,Rx,328.77
1003,ICON FF OFFICE 1x3m,ICON FF OFFICE 1x3m 18mm 1.59 Polycarbonate Blue Zero Clear BlueShield Glacier,Blue Zero,Rx,457.27
1004,ICON FF OFFICE 2m,ICON FF OFFICE 2m 14mm 1.50 AutoShade Grey BlueShield Glacier,Blue Zero,Rx,483.65
1005,ICON FF OFFICE 2m,ICON FF OFFICE 2m 14mm 1.50 AutoShade Grey Glacier,,Rx,408.65
1006,ICON FF OFFICE 2m,ICON FF OFFICE 2m 14mm 1.50 Blue Zero Clear BlueShield Glacier,Blue Zero,Rx,423.35
1007,ICON FF OFFICE 2m,ICON FF OFFICE 2m 14mm 1.50 Plastic Clear Anti-Blue,Blue Zero,Rx,403.77
1008,ICON FF OFFICE 2m,ICON FF OFFICE 2m 14mm 1.50 Plastic Clear Glacier,Clear,Rx,328.77
1009,ICON FF OFFICE 2m,ICON FF OFFICE 2m 14mm 1.59 Polycarbonate Blue Zero Clear BlueShield Glacier,Blue Zero,Rx,669.45
1010,ICON FF OFFICE 2m,ICON FF OFFICE 2m 14mm 1.59 Polycarbonate Blue Zero Glacier,Polycarbonate Blue Zero,,457.27
1011,ICON FF OFFICE 2m,ICON FF OFFICE 2m 14mm 1.59 Polycarbonate Clear Glacier,Clear,Rx,254.56
1012,ICON FF OFFICE 2m,ICON FF OFFICE 2m 14mm 1.59 Polycarbonate Clear Glacier,Clear,Rx,
1013,ICON FF OFFICE 2m,ICON FF OFFICE 2m 14mm 1.60 AutoShade Grey BlueShield Glacier,,,543.77
1014,ICON FF OFFICE 2m,ICON FF OFFICE 2m 14mm 1.60 Blue Zero Clear BlueShield Glacier,Blue Zero,Rx,557.68
1015,ICON FF OFFICE 2m,ICON FF OFFICE 2m 14mm 1.60 Blue Zero Clear Glacier,Blue Zero,Rx,482.68
1016,ICON FF OFFICE 2m,ICON FF OFFICE 2m 14mm 1.60 Plastic Clear Anti-Blue,Blue Zero,Rx,463.77
1017,ICON FF OFFICE 2m,ICON FF OFFICE 2m 14mm 1.60 Plastic Clear Glacier,Clear,Rx,343
1018,ICON FF OFFICE 2m,ICON FF OFFICE 2m 18mm 1.50 Blue Zero Clear BlueShield Glacier,Blue Zero,Rx,423.35
1019,ICON FF OFFICE 2m,ICON FF OFFICE 2m 18mm 1.50 Blue Zero Glacier Plus UV,,,348.35
1020,ICON FF OFFICE 2m,ICON FF OFFICE 2m 18mm 1.50 Plastic Clear Anti-Blue,Blue Zero,Rx,403.77
1021,ICON FF OFFICE 2m,ICON FF OFFICE 2m 18mm 1.50 Plastic Clear Crystal Blue,Blue Zero,Rx,448.77
1022,ICON FF OFFICE 2m,ICON FF OFFICE 2m 18mm 1.50 Plastic Clear Glacier Plus,Clear,Rx,328.77
1023,ICON FF OFFICE 2m,ICON FF OFFICE 2m 18mm 1.59 Polycarbonate Clear Anti-Blue,Blue Zero,Rx,469.34
1024,ICON FF OFFICE 2m,ICON FF OFFICE 2m 18mm 1.59 Polycarbonate Clear Glacier,Clear,Rx,394.34
1025,ICON FF OFFICE 2m,ICON FF OFFICE 2m 18mm 1.60 AutoShade Brown BlueShield Glacier,Blue Zero,Rx,543.77
1026,ICON FF OFFICE 2m,ICON FF OFFICE 2m 18mm 1.60 AutoShade Grey BlueShield Glacier,Blue Zero,Rx,640.6
1027,ICON FF OFFICE 2m,ICON FF OFFICE 2m 18mm 1.60 Blue Zero Clear BlueShield,Blue Zero,Rx,201.28
1028,ICON FF OFFICE 2m,ICON FF OFFICE 2m 18mm 1.60 Blue Zero Clear BlueShield Glacier,Blue Zero,Rx,542.68
1029,ICON FF OFFICE 2m,ICON FF OFFICE 2m 18mm 1.60 Blue Zero Clear Glacier,Blue Zero,Rx,421.14
1030,ICON FF OFFICE 2m,ICON FF OFFICE 2m 18mm 1.60 Blue Zero Clear Glacier,Blue Zero,Rx,
1031,ICON FF OFFICE 2m,ICON FF OFFICE 2m 18mm 1.60 Plastic Clear Anti-Blue,Blue Zero,Rx,463.77
1032,ICON FF OFFICE 2m,ICON FF OFFICE 2m 18mm 1.60 Plastic Clear Glacier,Clear,Rx,388.77
1033,ICON FF OFFICE 2m,ICON FF OFFICE 2m 18mm 1.67 Blue Zero Clear BlueShield Glacier,Blue Zero,,597.88
1034,ICON FF OFFICE 4m,ICON FF OFFICE 4m 14mm 1.50 Blue Zero Clear BlueShield Glacier,Blue Zero,,348.35
1035,ICON FF OFFICE 4m,ICON FF OFFICE 4m 14mm 1.50 Blue Zero Clear Glacier,Blue Zero,Rx,348.35
